school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year
Albert Einstein HS,1748,47.1,52.9,≤5.0,9.8,17.8,49.7,≤5.0,19.3,≤5.0,14.7,42.2,13.8,High School,2016-2017
Gaithersburg HS,2380,53.2,46.8,≤5.0,7.6,24.7,48.9,≤5.0,15.4,≤5.0,21.8,42.3,13.6,High School,2016-2017
Walter Johnson HS,2345,52.3,47.7,≤5.0,11.6,9.6,18.1,≤5.0,54.5,5.9,≤5.0,7.0,11.3,High School,2016-2017
John F. Kennedy HS,1593,51.2,48.8,≤5.0,7.0,30.3,55.5,≤5.0,5.1,≤5.0,21.0,51.1,14.0,High School,2016-2017
Col. Zadok Magruder HS,1550,53.5,46.5,≤5.0,13.0,18.3,37.3,≤5.0,26.9,≤5.0,10.9,33.4,11.1,High School,2016-2017
Richard Montgomery HS,2391,49.2,50.8,≤5.0,25.9,16.5,23.3,≤5.0,29.5,≤5.0,7.4,19.8,6.7,High School,2016-2017
Northwest HS,2333,50.3,49.7,≤5.0,18.6,27.0,19.4,≤5.0,29.4,5.4,≤5.0,24.8,10.6,High School,2016-2017
Northwood HS,1651,49.2,50.8,≤5.0,6.2,24.0,54.0,≤5.0,13.3,≤5.0,22.7,49.8,10.7,High School,2016-2017
Paint Branch HS,2005,52.2,47.8,≤5.0,13.3,56.2,18.9,≤5.0,7.6,≤5.0,≤5.0,34.0,10.0,High School,2016-2017
Poolesville HS,1180,51.8,48.2,≤5.0,30.1,≤5.0,7.6,≤5.0,51.4,5.8,≤5.0,6.4,5.3,High School,2016-2017
Quince Orchard HS,1959,50.5,49.5,≤5.0,13.0,13.7,25.7,≤5.0,43.0,≤5.0,9.1,22.9,8.9,High School,2016-2017
Rockville HS,1451,55.0,45.0,≤5.0,11.9,13.0,41.3,≤5.0,30.0,≤5.0,12.8,35.6,15.2,High School,2016-2017
Seneca Valley HS,1203,50.0,50.0,≤5.0,11.6,33.7,31.9,≤5.0,18.4,≤5.0,12.4,36.7,12.1,High School,2016-2017
Sherwood HS,1922,51.5,48.5,≤5.0,11.3,17.1,17.8,≤5.0,49.6,≤5.0,10.6,17.2,8.5,High School,2016-2017
Springbrook HS,1792,58.1,41.9,≤5.0,11.5,39.1,37.8,≤5.0,7.8,≤5.0,15.3,47.3,9.5,High School,2016-2017
Watkins Mill HS,1584,55.2,44.8,≤5.0,8.0,31.4,46.6,≤5.0,9.3,≤5.0,21.8,53.4,12.5,High School,2016-2017
Wheaton HS,1762,60.1,39.9,≤5.0,12.6,24.7,52.3,≤5.0,8.2,≤5.0,19.1,49.4,10.8,High School,2016-2017
Walt Whitman HS,2055,50.0,50.0,≤5.0,14.3,≤5.0,9.6,≤5.0,67.5,≤5.0,≤5.0,≤5.0,9.1,High School,2016-2017
Thomas S. Wootton HS,2189,50.5,49.5,≤5.0,36.7,6.1,7.4,≤5.0,45.6,≤5.0,≤5.0,5.1,6.4,High School,2016-2017
