school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year
Thomas Edison HS of Technology,771,65.4,34.6,≤5.0,5.8,22.2,60.4,≤5.0,9.5,≤5.0,29.4,48.4,19.8,High School,2018-2019
Albert Einstein HS,1746,47.3,52.7,≤5.0,8.4,17.8,48.3,≤5.0,22.1,≤5.0,17.1,36.3,10.5,High School,2018-2019
Gaithersburg HS,2352,52.6,47.4,≤5.0,7.1,23.0,53.2,≤5.0,13.3,≤5.0,23.5,43.6,11.3,High School,2018-2019
Walter Johnson HS,2587,53.2,46.8,≤5.0,12.2,10.3,17.7,≤5.0,53.7,6.0,5.5,7.4,11.5,High School,2018-2019
John F. Kennedy HS,1781,49.1,50.9,≤5.0,7.2,26.3,59.6,≤5.0,≤5.0,≤5.0,25.0,50.5,15.4,High School,2018-2019
Col. Zadok Magruder HS,1609,52.6,47.4,≤5.0,12.2,17.8,39.0,≤5.0,25.9,≤5.0,11.9,33.0,11.1,High School,2018-2019
Richard Montgomery HS,2483,50.2,49.8,≤5.0,26.0,16.9,22.7,≤5.0,29.4,≤5.0,8.6,20.0,5.1,High School,2018-2019
Northwest HS,2586,49.8,50.2,≤5.0,21.1,25.7,21.7,≤5.0,26.9,≤5.0,≤5.0,22.1,8.7,High School,2018-2019
Northwood HS,1732,48.6,51.4,≤5.0,5.3,25.4,53.1,≤5.0,13.6,≤5.0,22.3,49.7,9.1,High School,2018-2019
Paint Branch HS,2005,50.4,49.6,≤5.0,12.6,58.6,20.1,≤5.0,5.7,≤5.0,≤5.0,35.5,11.1,High School,2018-2019
Poolesville HS,1185,49.8,50.2,≤5.0,31.5,5.7,8.2,≤5.0,48.9,5.6,≤5.0,7.3,5.8,High School,2018-2019
Quince Orchard HS,2100,49.4,50.6,≤5.0,13.5,15.3,28.6,≤5.0,38.7,≤5.0,10.6,21.6,7.8,High School,2018-2019
Rockville HS,1450,55.8,44.2,≤5.0,10.8,13.7,41.0,≤5.0,30.5,≤5.0,12.3,24.1,13.6,High School,2018-2019
Seneca Valley HS,1181,50.0,50.0,≤5.0,10.9,34.6,35.8,≤5.0,14.5,≤5.0,14.0,37.9,12.8,High School,2018-2019
Sherwood HS,1973,51.3,48.7,≤5.0,11.4,16.1,18.1,≤5.0,49.3,≤5.0,12.5,15.7,7.2,High School,2018-2019
Springbrook HS,1735,59.7,40.3,≤5.0,12.6,37.8,39.8,≤5.0,6.7,≤5.0,18.7,48.0,7.8,High School,2018-2019
Watkins Mill HS,1615,52.9,47.1,≤5.0,8.2,29.4,51.1,≤5.0,7.2,≤5.0,22.2,50.0,10.1,High School,2018-2019
Wheaton HS,2077,59.4,40.6,≤5.0,12.1,22.3,53.9,≤5.0,9.3,≤5.0,20.9,46.9,6.1,High School,2018-2019
Walt Whitman HS,2098,52.0,48.0,≤5.0,14.1,≤5.0,8.1,≤5.0,68.5,5.6,≤5.0,≤5.0,7.5,High School,2018-2019
Thomas S. Wootton HS,2107,50.4,49.6,≤5.0,36.1,7.5,7.2,≤5.0,44.1,≤5.0,≤5.0,5.2,6.5,High School,2018-2019
