school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year
Northwest HS,2255,49.6,50.4,≤5.0,18,28.1,19.8,≤5.0,28.8,5.1,≤5.0,26,10.4,High School,2015-2016
Northwood HS,1579,50,50,≤5.0,6.3,24.6,52.8,≤5.0,13.8,≤5.0,22.5,50.4,12.5,High School,2015-2016
Paint Branch HS,1996,52,48,≤5.0,14.1,55.6,17.2,≤5.0,9.3,≤5.0,≤5.0,36.4,10.2,High School,2015-2016
Poolesville HS,1205,49.5,50.5,≤5.0,28.5,5.1,8,≤5.0,51.5,6.4,≤5.0,7.1,≤5.0,High School,2015-2016
Quince Orchard HS,1924,49.9,50.1,≤5.0,13.1,14.7,23.8,≤5.0,44,≤5.0,8.7,22.4,7.8,High School,2015-2016
Rockville HS,1342,54.7,45.3,≤5.0,11.3,13.3,38.7,≤5.0,32.7,≤5.0,11.9,33.3,16.3,High School,2015-2016
Seneca Valley HS,1198,50.4,49.6,≤5.0,11.4,36,29.1,≤5.0,19.6,≤5.0,11.9,38.4,12.9,High School,2015-2016
Sherwood HS,1890,49.8,50.2,≤5.0,11.7,16.9,15.2,≤5.0,52.2,≤5.0,10.2,17.2,10.1,High School,2015-2016
Springbrook HS,1790,57.6,42.4,≤5.0,11.3,41.8,35.1,≤5.0,8,≤5.0,14.9,44,9.7,High School,2015-2016
Watkins Mill HS,1524,55.3,44.7,≤5.0,8.7,31.6,43.1,≤5.0,11.7,≤5.0,20,51.4,12.9,High School,2015-2016
Wheaton HS,1554,59.2,40.8,≤5.0,12.1,26.4,50.7,≤5.0,8.4,≤5.0,18.9,47.6,11.1,High School,2015-2016
Walt Whitman HS,1977,49.5,50.5,≤5.0,13.2,≤5.0,9.3,≤5.0,69,≤5.0,8.8,≤5.0,9.5,High School,2015-2016
Thomas S. Wootton HS,2206,50.3,49.7,≤5.0,35.5,6.6,7.6,≤5.0,46.2,≤5.0,≤5.0,5.5,6.3,High School,2015-2016
