school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year
Damascus HS,1353,49.4,50.6,≤5.0,10.3,13.1,23.3,≤5.0,47.9,5.1,≤5.0,14.8,13.3,High School,2019-2020
Thomas Edison HS of Technology,804,64.3,35.7,≤5.0,6.1,17.8,63.3,≤5.0,10.8,≤5.0,26.6,44.9,16.2,High School,2019-2020
Albert Einstein HS,1818,47.7,52.3,≤5.0,7.6,17.7,48.5,≤5.0,22.4,≤5.0,19.5,36.4,11.3,High School,2019-2020
Gaithersburg HS,2397,53.0,47.0,≤5.0,6.9,21.9,55.4,≤5.0,12.8,≤5.0,25.5,42.5,13.0,High School,2019-2020
Walter Johnson HS,2747,52.9,47.1,≤5.0,13.8,10.6,17.1,≤5.0,52.1,6.0,5.4,7.7,11.2,High School,2019-2020
John F. Kennedy HS,1817,49.3,50.7,≤5.0,6.8,24.9,61.4,≤5.0,5.3,≤5.0,26.6,47.6,12.9,High School,2019-2020
Col. Zadok Magruder HS,1697,52.2,47.8,≤5.0,12.4,17.8,39.5,≤5.0,25.7,≤5.0,11.8,32.7,12.6,High School,2019-2020
Richard Montgomery HS,2505,49.1,50.9,≤5.0,24.6,17.2,23.6,≤5.0,29.1,5.4,8.7,19.9,6.5,High School,2019-2020
Northwest HS,2623,49.7,50.3,≤5.0,21.3,24.6,23.1,≤5.0,26.1,≤5.0,≤5.0,22.3,8.3,High School,2019-2020
Northwood HS,1805,48.3,51.7,≤5.0,≤5.0,24.9,53.5,≤5.0,13.7,≤5.0,23.4,47.6,8.9,High School,2019-2020
Paint Branch HS,1996,50.8,49.2,≤5.0,12.0,59.5,21.0,≤5.0,≤5.0,≤5.0,≤5.0,32.9,11.1,High School,2019-2020
Poolesville HS,1205,49.8,50.2,≤5.0,32.9,5.6,7.8,≤5.0,48.2,5.1,≤5.0,6.6,5.6,High School,2019-2020
Quince Orchard HS,2148,51.0,49.0,≤5.0,12.9,16.3,28.3,≤5.0,38.1,≤5.0,10.5,23.8,9.5,High School,2019-2020
Rockville HS,1440,54.6,45.4,≤5.0,10.8,13.5,41.2,≤5.0,30.3,≤5.0,13.9,26.6,16.1,High School,2019-2020
Seneca Valley HS,1226,50.9,49.1,≤5.0,10.0,36.3,35.3,≤5.0,14.3,≤5.0,13.6,40.0,12.6,High School,2019-2020
Sherwood HS,1964,51.2,48.8,≤5.0,11.4,15.9,18.9,≤5.0,48.7,≤5.0,12.9,13.8,7.1,High School,2019-2020
Springbrook HS,1746,57.4,42.6,≤5.0,12.4,38.1,40.5,≤5.0,6.1,≤5.0,19.0,48.5,8.6,High School,2019-2020
Watkins Mill HS,1590,53.0,47.0,≤5.0,8.6,26.7,54.7,≤5.0,6.7,≤5.0,24.8,51.3,12.8,High School,2019-2020
Wheaton HS,2179,60.0,40.0,≤5.0,11.2,19.9,57.3,≤5.0,9.3,≤5.0,22.3,48.0,8.6,High School,2019-2020
Walt Whitman HS,2039,50.4,49.6,≤5.0,13.9,≤5.0,8.8,≤5.0,67.0,6.2,≤5.0,≤5.0,8.3,High School,2019-2020
Thomas S. Wootton HS,2116,49.9,50.1,≤5.0,37.2,8.3,8.0,≤5.0,41.6,≤5.0,≤5.0,5.2,6.8,High School,2019-2020
