school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year,X,EML
Great Seneca Creek ES,766,49.2,50.8,≤5.0,14.8,26.0,23.4,≤5.0,27.8,7.4,16.2,33.2,8.2,Elementary School,2012-2013,,
Greencastle ES,718,50.7,49.3,≤5.0,8.6,70.3,16.3,≤5.0,≤5.0,≤5.0,18.5,63.9,11.6,Elementary School,2012-2013,,
Greenwood ES,529,50.1,49.9,≤5.0,8.3,7.2,9.1,≤5.0,69.9,5.5,6.0,7.8,5.1,Elementary School,2012-2013,,
Harmony Hills ES,740,50.5,49.5,≤5.0,6.2,18.0,71.5,≤5.0,≤5.0,≤5.0,57.2,88.4,7.2,Elementary School,2012-2013,,
Highland ES,534,52.4,47.6,≤5.0,5.6,12.7,74.0,≤5.0,≤5.0,≤5.0,59.6,82.2,13.3,Elementary School,2012-2013,,
Highland View ES,393,51.1,48.9,≤5.0,≤5.0,24.4,27.5,≤5.0,38.9,5.6,32.1,42.2,5.9,Elementary School,2012-2013,,
Jackson Road ES,677,54.8,45.2,≤5.0,11.2,48.7,34.3,≤5.0,≤5.0,≤5.0,29.7,70.8,13.1,Elementary School,2012-2013,,
Jones Lane ES,489,55.6,44.4,≤5.0,12.7,10.6,23.3,≤5.0,47.4,5.5,16.4,27.0,13.7,Elementary School,2012-2013,,
Kemp Mill ES,477,48.8,51.2,≤5.0,5.5,20.1,67.7,≤5.0,≤5.0,≤5.0,55.1,75.7,8.6,Elementary School,2012-2013,,
Kensington Parkwood ES,654,52.0,48.0,≤5.0,7.0,5.7,8.6,≤5.0,73.9,≤5.0,5.4,6.1,10.2,Elementary School,2012-2013,,
Lake Seneca ES,450,51.3,48.7,≤5.0,10.4,30.4,30.7,≤5.0,22.9,5.3,26.2,44.9,17.8,Elementary School,2012-2013,,
Lakewood ES,569,50.1,49.9,≤5.0,43.6,≤5.0,7.2,≤5.0,39.4,5.3,9.0,≤5.0,6.9,Elementary School,2012-2013,,
Laytonsville ES,470,53.4,46.6,≤5.0,9.4,11.1,12.3,≤5.0,60.0,7.0,6.0,14.0,11.9,Elementary School,2012-2013,,
Little Bennett ES,957,50.4,49.6,≤5.0,29.7,18.3,9.1,≤5.0,35.0,7.7,13.2,12.5,6.2,Elementary School,2012-2013,,
Luxmanor ES,452,49.3,50.7,≤5.0,21.2,13.3,18.1,≤5.0,44.0,≤5.0,19.2,15.3,9.1,Elementary School,2012-2013,,
Thurgood Marshall ES,590,53.6,46.4,≤5.0,16.6,13.4,26.3,≤5.0,37.5,5.4,16.6,27.1,12.7,Elementary School,2012-2013,,
Maryvale ES,581,48.5,51.5,≤5.0,8.8,27.9,31.8,≤5.0,25.1,5.9,30.6,43.2,7.4,Elementary School,2012-2013,,
Spark M. Matsunaga ES,1009,51.4,48.6,≤5.0,37.5,15.5,11.0,≤5.0,30.3,5.6,14.6,15.7,5.7,Elementary School,2012-2013,,
S. Christa McAuliffe ES,636,50.8,49.2,≤5.0,10.5,29.6,33.8,≤5.0,17.9,7.7,24.7,48.7,7.5,Elementary School,2012-2013,,
Ronald McNair ES,791,50.3,49.7,≤5.0,29.1,23.0,15.8,≤5.0,27.1,5.1,19.3,25.2,7.7,Elementary School,2012-2013,,
Meadow Hall ES,425,52.9,47.1,≤5.0,9.6,12.9,50.8,≤5.0,20.9,≤5.0,26.6,53.6,16.2,Elementary School,2012-2013,,
Mill Creek Towne ES,408,55.1,44.9,≤5.0,12.7,15.0,40.7,≤5.0,26.7,≤5.0,30.9,42.2,19.1,Elementary School,2012-2013,,
Monocacy ES,160,51.9,48.1,≤5.0,≤5.0,6.3,7.5,≤5.0,76.3,7.5,≤5.0,13.1,16.3,Elementary School,2012-2013,,
Montgomery Knolls ES,488,50.4,49.6,≤5.0,7.6,22.7,49.2,≤5.0,18.0,≤5.0,46.5,61.7,17.2,Elementary School,2012-2013,,
New Hampshire Estates ES,509,47.3,52.7,≤5.0,≤5.0,14.5,79.8,≤5.0,≤5.0,≤5.0,76.4,90.4,7.7,Elementary School,2012-2013,,
Roscoe R. Nix ES,544,52.0,48.0,≤5.0,12.1,34.6,46.5,≤5.0,5.1,≤5.0,42.5,68.4,7.2,Elementary School,2012-2013,,
North Chevy Chase ES,409,48.7,51.3,≤5.0,5.9,11.0,14.4,≤5.0,61.4,6.8,5.1,7.1,12.0,Elementary School,2012-2013,,
Oak View ES,352,50.6,49.4,≤5.0,8.2,18.8,55.4,≤5.0,15.6,≤5.0,38.6,69.9,11.9,Elementary School,2012-2013,,
Oakland Terrace ES,518,54.1,45.9,≤5.0,8.5,14.7,27.2,≤5.0,41.9,7.3,18.5,32.0,9.8,Elementary School,2012-2013,,
Olney ES,612,54.1,45.9,≤5.0,10.6,14.7,14.5,≤5.0,53.3,6.5,7.2,18.1,6.5,Elementary School,2012-2013,,
William Tyler Page ES,403,51.9,48.1,≤5.0,20.6,50.4,18.1,≤5.0,6.9,≤5.0,22.3,50.1,5.2,Elementary School,2012-2013,,
Pine Crest ES,438,47.3,52.7,≤5.0,13.7,17.6,35.8,≤5.0,28.1,≤5.0,24.7,47.7,≤5.0,Elementary School,2012-2013,,
Piney Branch ES,492,49.6,50.4,≤5.0,≤5.0,34.1,17.3,≤5.0,38.4,5.7,16.3,33.9,8.7,Elementary School,2012-2013,,
Poolesville ES,390,53.6,46.4,≤5.0,≤5.0,≤5.0,12.6,≤5.0,76.2,≤5.0,5.1,14.4,9.7,Elementary School,2012-2013,,
Potomac ES,496,52.4,47.6,≤5.0,30.6,≤5.0,≤5.0,≤5.0,58.3,≤5.0,7.1,≤5.0,6.5,Elementary School,2012-2013,,
Judith A. Resnik ES,592,49.2,50.8,≤5.0,11.0,27.9,41.0,≤5.0,15.0,≤5.0,32.1,54.4,8.6,Elementary School,2012-2013,,
Dr. Sally K. Ride ES,510,56.3,43.7,≤5.0,23.5,28.6,24.3,≤5.0,16.9,6.3,20.4,42.5,16.3,Elementary School,2012-2013,,
Ritchie Park ES,522,52.1,47.9,≤5.0,20.5,10.2,16.1,≤5.0,48.1,≤5.0,13.2,16.5,7.3,Elementary School,2012-2013,,
