School Name,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,SPED
Maryvale ES,620,46.1,53.9,≤5.0,9.7,26.5,31.1,≤5.0,25.2,7.3,25.3,41.9,7.9
Spark M. Matsunaga ES,856,49.6,50.4,≤5.0,36.3,19.4,13.6,≤5.0,24.9,5.7,11.3,18,6.3
S. Christa McAuliffe ES,640,49.1,50.9,≤5.0,8.3,37.8,29.7,≤5.0,16.4,7.5,21.7,49.1,9.5
Ronald McNair ES,837,49.9,50.1,≤5.0,30.1,22.3,16.4,≤5.0,24.7,6.2,17.8,25.7,6.8
Meadow Hall ES,462,55,45,≤5.0,10,11.5,53.5,≤5.0,21,≤5.0,23.2,53.5,18.6
Mill Creek Towne ES,374,55.6,44.4,≤5.0,10.2,12.8,44.4,≤5.0,27,5.1,31.8,50.3,22.5
Monocacy ES,166,59,41,≤5.0,≤5.0,7.8,11.4,≤5.0,71.7,6,5.4,18.7,13.3
Montgomery Knolls ES,474,56.8,43.2,≤5.0,6.3,24.3,51.1,≤5.0,16.2,≤5.0,48.9,65.6,16.9
New Hampshire Estates ES,498,51,49,≤5.0,≤5.0,17.9,77.3,≤5.0,≤5.0,≤5.0,63.1,91.8,7.2
Roscoe R. Nix ES,538,52.2,47.8,≤5.0,5.6,38.5,49.4,≤5.0,≤5.0,≤5.0,48.1,75.1,9.1
North Chevy Chase ES,387,52.5,47.5,≤5.0,5.2,16.5,15,≤5.0,56.3,7,8.3,12.4,10.9
Oak View ES,403,49.6,50.4,≤5.0,5.5,17.6,65.8,≤5.0,9.7,≤5.0,34,79.7,11.9
Oakland Terrace ES,480,48.3,51.7,≤5.0,7.7,12.5,29.8,≤5.0,40,9.6,15.6,30.6,15.2
Olney ES,647,53.2,46.8,≤5.0,14.5,15.6,15.3,≤5.0,47.6,7,10.8,19.3,7.6
William Tyler Page ES,421,48.2,51.8,≤5.0,16.9,54.6,20.7,≤5.0,5.9,≤5.0,23,51.1,6.7
Pine Crest ES,469,51,49,≤5.0,6.6,21.7,37.7,≤5.0,29.4,≤5.0,22.6,46.1,7.9
Piney Branch ES,563,51.7,48.3,≤5.0,≤5.0,35,19.5,≤5.0,36.4,5.5,15.6,33.7,8.9
Poolesville ES,417,48.4,51.6,≤5.0,5.3,≤5.0,10.8,≤5.0,74.6,≤5.0,5.3,10.6,9.4
Potomac ES,474,52.1,47.9,≤5.0,34.6,≤5.0,5.1,≤5.0,50.6,5.5,8.4,≤5.0,5.9
Judith A. Resnik ES,643,51.8,48.2,≤5.0,11.4,33,38.9,≤5.0,12.6,≤5.0,30.6,56.5,8.2
Dr. Sally K. Ride ES,514,55.4,44.6,≤5.0,17.5,40.3,25.5,≤5.0,11.9,≤5.0,20.4,49.6,20.4
Ritchie Park ES,532,48.9,51.1,≤5.0,22.4,9,18.8,≤5.0,43.6,5.6,11.8,21.8,6.6
Rock Creek Forest ES,708,47.9,52.1,≤5.0,5.4,16.2,33.2,≤5.0,38.6,6.2,16.5,26.3,9.6
Rock Creek Valley ES,435,49.9,50.1,≤5.0,15.9,10.1,37.5,≤5.0,28,8.3,20,31.3,21.8
Rock View ES,615,51.7,48.3,≤5.0,9.6,17.2,45.9,≤5.0,20.7,6,27.5,50.1,14.5
Lois P. Rockwell ES,459,50.5,49.5,≤5.0,11.8,11.1,23.3,≤5.0,47.9,5.9,10.7,19.8,19
Rolling Terrace ES,893,48.9,51.1,≤5.0,≤5.0,15.3,65.6,≤5.0,12.9,≤5.0,51.8,72.5,7.2
Rosemary Hills ES,610,51,49,≤5.0,≤5.0,24.9,13.3,≤5.0,52,5.9,17.5,27.7,8
Rosemont ES,588,53.9,46.1,≤5.0,8.8,25.5,48.8,≤5.0,11.9,≤5.0,44,60.4,12.8
Sequoyah ES,385,51.4,48.6,≤5.0,11.4,13.2,50.4,≤5.0,21.3,≤5.0,32.7,54.3,16.4
Seven Locks ES,398,48.2,51.8,≤5.0,18.8,7.8,10.1,≤5.0,54.8,8.3,13.6,5.3,6.3
Sherwood ES,513,53.6,46.4,≤5.0,13.5,18.3,13.5,≤5.0,50.3,≤5.0,5.8,19.5,17.5
Sargent Shriver ES,756,51.1,48.9,≤5.0,7.7,11.9,75.7,≤5.0,≤5.0,≤5.0,47,81.9,7.4
